Register no.,JEE MAINS,JEE ADVANCED,Name,Password
2,2,0,vishnupraba,vishnu24
3,3,4,sweety,sweety03
6,6,8,varsha,varsha07
7,7,5,yuva,yuva18
10,10,9,asvikka,asvikka02
1,1,2,blesslin,blesslin04
4,4,3,deepitha,deepitha03
5,5,6,abirami,abirami09
8,8,7,hariharan,hariharan21
9,9,10,harish,harish34
12,12,11,pranesh,pranesh37
13,13,14,varshini,varshini56
16,16,15,vidisha,vidisha23
17,17,18,ramya,ramya16
20,20,19,siva,siva18
11,11,12,ram,ram22
14,14,13,vishnu,vishnu345
15,15,16,prabha,prabha123
18,18,17,vikas,vikas15
19,19,20,jana,jana23
22,22,21,navasri,navasri17
23,23,24,kavisika,kavisika17
26,26,25,kamal,kamal06
27,27,28,sindhu,sindhu45
30,30,29,nive,nive10
21,21,22,mithra,mithra34
24,24,23,varuni,varuni67
25,25,26,selena,selena68
28,28,27,alex,alex98
29,29,30,harry,harry56
32,32,31,ron,ron323
33,33,34,conrad,conrad21
37,37,38,jeremiah,jeremiah45
40,40,39,bella,bella678
31,31,32,tris,tris543
34,34,33,edward,edward234
35,35,36,jacob,jacob679
38,38,37,jonas,jonas90
39,39,40,martha,martha654
42,42,41,lizzie,lizzie453
43,43,44,seetharam,seetharam05
46,46,45,nivetha,nivetha7
47,47,48,taylor,taylor54
50,50,49,yuvan,yuvan43
41,41,42,shri,shri32
44,44,43,sneha,sneha345
45,45,46,dharani,dharani908
48,48,47,enola,enola582
49,49,50,sherlock,sherlock422
52,52,51,sarayu,sarayu57
53,53,54,siya,siya78
56,56,55,janis,janis6789
57,57,58,joe,joe30
60,60,59,chandler,chandler523
51,51,52,monica,monica258
54,54,53,ross,ross9763
55,55,56,racheal,racheal356
58,58,57,phoebe,phoebe574
59,59,60,gunther,gunther309
62,62,61,jothi,jothi55
63,63,64,kumaran,kumaran004
66,66,65,nantha,nantha33
67,67,68,helina,helina88
70,70,69,tanuja,tanuja123
61,61,62,yuktha,yuktha098
64,64,63,surabhi,surabhi372
65,65,66,srinidhi,srinidhi086
68,68,67,gokul,gokul012
69,69,70,gowtham,gowtham346
72,72,71,srihari,srihari093
73,73,74,harini,harini302
76,76,75,kavya,kavya01205
77,77,78,gopika,gopika1609
80,80,79,keerthi,keerthi0910
71,71,72,aishu,aishu2906
74,74,73,thara,thara1508
75,75,76,aadanya,aadanya04
78,78,77,vijay,vijay11
79,79,80,sangavi,sangavi1109
82,82,81,monisha,monisha2004
83,83,84,ambika,ambika1607
86,86,85,vasanthi,vasanthi2206
87,87,88,uma,uma097
90,90,89,priya,priya102
81,81,82,aravinth,aravinth13
84,84,83,ajitha,ajitha109
85,85,86,shaun,shaun079
88,88,87,shreya,shreya22011
89,89,90,manisha,manisha011
92,92,91,seaja,seaja24
93,93,94,kesav,kesav3455
96,96,95,shegu,shegu011
97,97,98,salman,salman863
100,100,99,hrithik,hrithik8367
91,91,92,roshan,roshan099
94,94,93,vicky,vicky778
95,95,96,dev,dev99
98,98,97,deva,deva5382
99,99,100,dharshini,dharshini084
102,102,101,kavin,kavin72
103,103,104,raja,raja9047
106,106,105,rohith,rohith6292
107,107,108,rithick,rithick67
110,110,109,raj,raj12
101,101,102,deepi,deepi04
104,104,103,vishal,vishal1093
105,105,106,tarun,tarun1982
108,108,107,pradhanya,pradhanya864
109,109,110,vineeth,vineeth546
112,112,111,manju,manju6795
113,113,114,hema,hema345
116,116,115,sai,sai0934
117,117,118,priyan,priyan77
120,120,119,surya,surya44
111,111,112,karthik,karthik17
114,114,113,dhruv,dhruv534
115,115,116,vikram,vikram082
118,118,117,rajini,rajini546
119,119,120,anand,anand1234
122,122,121,rathiya,rathiya0987
123,123,124,devi,devi5674
126,126,125,saroja,saroja234
127,127,128,gayathri,gayathri786
130,130,129,shiva,shiva546
121,121,122,shambhavi,shambhavi2310
124,124,123,harshitha,harshi36
125,125,126,nithya,nithya456
128,128,127,anu,anu0965
129,129,130,saaruga,saaruga2007
132,132,131,krishna,krishna2004
133,133,134,anjana,anjana1998
136,136,135,anjani,anjani1987
137,137,138,george,george1564
140,140,139,maria,maria19834
131,131,132,leo,leo167
134,134,133,harsh,harsh1984
135,135,136,chris,chris1975
138,138,137,harish,harish1987
139,139,140,mary,mary199
142,142,141,abi,abi1991
143,143,144,abinaya,abinaya1992
146,146,145,asmitha,asmitha1983
147,147,148,lohith,lohith2002
150,150,149,mani,mani1974
141,141,142,velu,velu1970
144,144,143,nithin,nithin1986
145,145,146,amudha,amudha4937
148,148,147,ravi,ravi2967
149,149,150,revi,revi346
152,152,151,abhishek,abhishek056
151,151,189,Varsha,varsha08
